Designator,Footprint,Quantity,Value,LCSC Part #,Alternative LCSC Part #
,,,,,
"C1, C12, C13, C19, C23, C26, C8, C9",402,8,100nF,C343047,
"C10, C14, C15, C2, C20, C28, C29, C32, C33, C5, C6, C7",603,12,1uF,C1592,
"C11, C18, C27, C30, C31",402,5,10uF,C315248,
"C16, C17",201,2,1.8pF, C161415,
C21,402,1,6.8pF,C1576,
"C22, C24, C25",402,3,22uF,C6119813,
C3,402,1,15pF,C1852854,
C4,402,1,12pF,C882545,
D2,D_SOD-123,1,B5819W,C64885,
"DS1, DS2",603,2,GREEN,C125098,
IC1,QFN40P700X700X90-57N-D,1,ESP32-S3R8,C2913194,
J1,TF PUSH,1,Micro_SD_Card_Det_Hirose_DM3AT,C393941,
J2,USB_C_Receptacle_HCTL_HC019-1E1H1A103-0HR,1,USB C,C2894918,
J8,33FXRH-SM1-GAN-TF,1,33FXRH-SM1-GAN-TF,C2890488,
L1,402,1,22nH,C15178,
L2,402,1,2nH,C279790,
L3,201,1,2.7nH,C98043,
L5,BR2518_YDN,1,1uH,C524998,C223187 
"L7, L8",DFE252012P-1R0M=P2,2,DFP252012TF-100M,C356910,
"Q1, Q3",SOT-23,2,S8050,C181158,
Q2,SOT-23,1,BSS84,C2926187,
"R1, R12, R2, R3, R4",402,5,10k,C25531,
R10,402,1,22k,C25768,
"R11, R30, R7, R9",402,4,100k,C25741,
"R13, R14, R19, R20, R21, R32",402,6,0R,C17168,
"R15, R16",603,2,1k,C844746,
R31,402,1,680k,C163456,
"R5, R6",402,2,4k99,C137965,
"SW1, SW2, SW3",B3U-1000P,3,B3U-1000P,C231329,
U1,SOIC-8W_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,C113767,
U2,SOT95P285X130-5N,1,SY8089A1AAC,C479074,
U3,DFN-12,1,AXPM65611,,
U5,SOT-23-6,1,USBLC6-2SC6,C7519,
Y1,SMD32324-4P,1,40MHz,C9010,
